time,open,high,low,close,volume
2020-12-18 20:00:00,276.87,276.9,276.7,276.9,1997
2020-12-18 19:45:00,276.65,276.65,276.65,276.65,280
2020-12-18 19:30:00,276.65,276.65,276.51,276.51,3318
2020-12-18 19:15:00,276.41,276.42,276.41,276.42,555
2020-12-18 19:00:00,276.41,276.41,276.4,276.4,290
2020-12-18 18:30:00,276.5,276.5,276.5,276.5,300
2020-12-18 18:15:00,276.82,276.82,276.6999,276.7,1361
2020-12-18 18:00:00,277.0,277.0,276.95,276.95,2976
2020-12-18 17:45:00,277.0,277.2,276.4,276.4,2419
2020-12-18 17:30:00,277.15,277.2,276.85,276.9,5168
2020-12-18 17:15:00,277.01,277.11,276.4,277.11,31229
2020-12-18 17:00:00,276.8,277.25,276.79,277.25,35682
2020-12-18 16:45:00,276.84,276.85,276.6,276.7,9655
2020-12-18 16:30:00,276.4,276.98,276.3724,276.84,424258
2020-12-18 16:15:00,276.4,277.2,275.65,276.99,1198298
2020-12-18 16:00:00,275.1,278.0,274.7808,276.15,2575170
2020-12-18 15:45:00,274.56,275.25,274.38,275.09,935838
2020-12-18 15:30:00,273.98,274.5999,273.47,274.54,495377
2020-12-18 15:15:00,273.91,273.99,273.17,273.97,328719
2020-12-18 15:00:00,273.8093,274.3643,273.17,273.89,498245
2020-12-18 14:45:00,272.19,274.29,272.19,273.81,787037
2020-12-18 14:30:00,271.88,272.25,271.53,272.16,270124
2020-12-18 14:15:00,272.02,272.08,271.47,271.84,235009
2020-12-18 14:00:00,271.98,272.02,271.5,272.0,215197
2020-12-18 13:45:00,271.91,273.78,271.68,272.0,435716
2020-12-18 13:30:00,271.72,272.3,271.26,271.9,376383
2020-12-18 13:15:00,271.9,271.95,271.47,271.73,294952
2020-12-18 13:00:00,272.45,272.457,271.85,271.86,198473
2020-12-18 12:45:00,271.895,273.75,271.85,272.44,236806
2020-12-18 12:30:00,272.22,272.22,271.52,271.89,270827
2020-12-18 12:15:00,272.14,272.48,271.8,272.22,258937
2020-12-18 12:00:00,272.34,272.49,272.13,272.15,215008
2020-12-18 11:45:00,272.395,272.4799,271.65,272.33,392584
2020-12-18 11:30:00,272.49,272.96,272.23,272.395,367178
2020-12-18 11:15:00,273.03,273.39,272.07,272.49,678184
2020-12-18 11:00:00,272.69,273.28,272.39,273.01,414739
2020-12-18 10:45:00,272.58,273.05,271.65,272.75,406975
2020-12-18 10:30:00,272.01,273.05,271.7538,272.54,650418
2020-12-18 10:15:00,273.3,273.3,271.14,272.0635,1148550
2020-12-18 10:00:00,274.36,274.36,272.65,273.26,699213
