time,open,high,low,close,volume
2020-12-18 20:00:00,3226.92,3229.45,3226.92,3229.45,4209
2020-12-18 19:45:00,3225.0,3226.76,3224.8,3226.76,4118
2020-12-18 19:30:00,3222.0,3223.78,3222.0,3223.78,693
2020-12-18 19:15:00,3220.31,3222.0,3220.31,3222.0,2173
2020-12-18 19:00:00,3217.64,3221.5,3217.64,3221.5,3674
2020-12-18 18:45:00,3215.37,3216.0,3215.37,3216.0,665
2020-12-18 18:30:00,3215.88,3216.27,3215.88,3216.07,2012
2020-12-18 18:15:00,3214.56,3215.5,3213.98,3215.48,5258
2020-12-18 18:00:00,3214.1,3214.9,3214.0,3214.5,33585
2020-12-18 17:45:00,3215.0,3215.0,3214.0,3214.4,11271
2020-12-18 17:30:00,3210.0,3214.5,3210.0,3214.5,5812
2020-12-18 17:15:00,3211.1,3211.1,3201.65,3210.04,43655
2020-12-18 17:00:00,3204.63,3212.08,3204.5,3212.08,6746
2020-12-18 16:45:00,3203.84,3206.0,3202.85,3206.0,9527
2020-12-18 16:30:00,3201.0,3202.5,3200.06,3202.0,76007
2020-12-18 16:15:00,3201.65,3204.2,3200.0,3201.0,228686
2020-12-18 16:00:00,3192.3,3207.03,3185.21,3201.07,592507
2020-12-18 15:45:00,3178.35,3193.38,3175.0,3191.96,324388
2020-12-18 15:30:00,3182.785,3184.95,3175.53,3178.48,164316
2020-12-18 15:15:00,3185.185,3187.1741,3179.23,3183.32,205190
2020-12-18 15:00:00,3188.0,3192.84,3182.0,3186.0289,153700
2020-12-18 14:45:00,3178.45,3188.4,3178.0,3187.56,144989
2020-12-18 14:30:00,3175.0,3179.28,3171.6,3177.899,107941
2020-12-18 14:15:00,3186.08,3186.8,3175.0,3175.3047,118475
2020-12-18 14:00:00,3186.315,3188.3726,3182.64,3186.075,81179
2020-12-18 13:45:00,3194.78,3194.9,3181.9928,3185.88,131209
2020-12-18 13:30:00,3199.66,3200.0,3191.56,3194.6614,116975
2020-12-18 13:15:00,3198.32,3199.92,3197.06,3199.92,60141
2020-12-18 13:00:00,3200.125,3200.2704,3196.01,3198.0,62659
2020-12-18 12:45:00,3197.29,3201.02,3196.8,3200.63,59895
2020-12-18 12:30:00,3201.0765,3201.0765,3195.81,3197.55,57054
2020-12-18 12:15:00,3197.0,3201.71,3194.57,3200.72,80870
2020-12-18 12:00:00,3200.32,3202.0,3197.23,3197.3,92227
2020-12-18 11:45:00,3200.72,3204.0,3199.17,3200.02,114669
2020-12-18 11:30:00,3197.5,3203.4199,3192.62,3201.53,83895
2020-12-18 11:15:00,3206.975,3208.6664,3192.09,3196.9159,128166
2020-12-18 11:00:00,3208.0,3209.47,3203.0,3206.8722,71640
2020-12-18 10:45:00,3208.17,3210.015,3203.0,3208.435,79900
2020-12-18 10:30:00,3211.61,3213.5065,3204.0395,3207.89,113326
2020-12-18 10:15:00,3217.1,3218.35,3206.82,3211.34,195984
2020-12-18 10:00:00,3226.605,3229.88,3217.06,3218.13,169995
2020-12-18 09:45:00,3243.99,3249.42,3220.5813,3227.0,628239
2020-12-18 09:30:00,3243.36,3251.84,3243.36,3244.87,18530
2020-12-18 09:15:00,3247.0378,3248.0,3247.0,3247.0,6020
2020-12-18 09:00:00,3243.7204,3248.9,3241.6954,3247.5,5989
2020-12-18 08:45:00,3237.0,3244.2986,3237.0,3243.0,3968
2020-12-18 08:30:00,3236.0801,3236.0801,3236.0801,3236.0801,6998
2020-12-18 08:15:00,3234.9,3237.8035,3232.9365,3235.69,2503
2020-12-18 08:00:00,3232.5,3232.5,3232.5,3232.5,353
2020-12-18 07:30:00,3236.08,3236.08,3236.08,3236.08,116
2020-12-18 07:15:00,3232.5,3232.5,3232.5,3232.5,831
2020-12-18 05:45:00,3227.62,3227.62,3227.62,3227.62,282
2020-12-18 04:15:00,3236.0,3236.0,3236.0,3236.0,207
2020-12-17 20:00:00,3231.31,3231.31,3230.0,3230.0,1063
2020-12-17 19:45:00,3235.9,3235.9,3235.9,3235.9,102
2020-12-17 19:15:00,3235.25,3235.25,3234.21,3234.21,682
2020-12-17 18:45:00,3235.18,3235.18,3235.18,3235.18,102
2020-12-17 17:45:00,3233.9,3233.9,3233.9,3233.9,3528
2020-12-17 17:30:00,3235.02,3235.02,3234.21,3234.21,638
2020-12-17 17:00:00,3236.2,3236.2,3236.2,3236.2,203
2020-12-17 16:30:00,3236.0,3236.08,3235.0,3235.0,21753
2020-12-17 16:15:00,3236.08,3242.06,3236.0,3236.0,105826
2020-12-17 16:00:00,3227.07,3239.0,3225.4687,3237.015,252359
2020-12-17 15:45:00,3231.5,3233.2729,3224.0,3227.5713,128087
2020-12-17 15:30:00,3233.76,3237.46,3231.93,3231.93,131122
