time,open,high,low,close,volume
2020-12-18 20:00:00,127.25,127.31,127.25,127.31,49208
2020-12-18 19:45:00,127.18,127.33,127.17,127.3,47357
2020-12-18 19:30:00,127.1,127.2,127.08,127.18,18550
2020-12-18 19:15:00,127.1,127.14,127.05,127.08,23240
2020-12-18 19:00:00,127.08,127.15,127.07,127.09,23085
2020-12-18 18:45:00,127.09,127.16,127.07,127.07,10297
2020-12-18 18:30:00,127.05,127.17,127.01,127.13,24732
2020-12-18 18:15:00,127.18,127.18,127.02,127.05,17229
2020-12-18 18:00:00,127.17,127.24,127.08,127.18,26664
2020-12-18 17:45:00,127.13,127.33,126.655,127.24,68618
2020-12-18 17:30:00,127.0,127.39,126.98,127.1,229381
2020-12-18 17:15:00,127.02,127.04,126.655,127.0,464259
2020-12-18 17:00:00,127.04,127.1,127.0,127.02,133026
2020-12-18 16:45:00,126.91,127.07,126.89,127.04,225630
2020-12-18 16:30:00,126.9,126.96,126.6677,126.9,1525227
2020-12-18 16:15:00,126.655,127.06,126.65,126.95,12419981
2020-12-18 16:00:00,126.63,127.0,126.28,126.65,12399119
2020-12-18 15:45:00,126.55,126.8,126.37,126.6385,4951003
2020-12-18 15:30:00,126.4445,126.58,126.12,126.55,4712347
2020-12-18 15:15:00,126.78,126.88,126.37,126.4498,3190855
2020-12-18 15:00:00,126.8793,127.99,126.425,126.7751,3191979
2020-12-18 14:45:00,126.745,127.04,126.68,126.8768,3579663
2020-12-18 14:30:00,126.61,126.78,126.42,126.748,2555661
2020-12-18 14:15:00,126.79,126.8097,126.47,126.6161,3112506
2020-12-18 14:00:00,126.83,127.05,126.785,126.79,2299628
2020-12-18 13:45:00,127.17,127.18,126.625,126.8181,4140680
2020-12-18 13:30:00,127.4748,128.0,127.15,127.16,2566463
2020-12-18 13:15:00,127.7,127.73,127.42,127.475,2655212
2020-12-18 13:00:00,127.79,127.79,127.62,127.695,1532710
2020-12-18 12:45:00,127.6452,127.85,127.58,127.795,1742477
2020-12-18 12:30:00,127.63,127.7799,127.59,127.6493,1900618
2020-12-18 12:15:00,127.4149,127.66,127.3,127.6299,2255334
2020-12-18 12:00:00,127.5408,127.68,127.37,127.4141,1562446
2020-12-18 11:45:00,127.43,127.58,127.29,127.54,2871142
2020-12-18 11:30:00,127.38,127.55,127.22,127.44,2186476
2020-12-18 11:15:00,127.745,127.9,127.22,127.38,3371405
2020-12-18 11:00:00,127.71,127.94,127.52,127.745,2272281
2020-12-18 10:45:00,127.3808,127.77,127.37,127.72,2504012
2020-12-18 10:30:00,127.675,127.815,127.29,127.4,3260922
2020-12-18 10:15:00,127.62,127.72,127.08,127.675,4748547
2020-12-18 10:00:00,127.79,127.86,127.385,127.6105,5746087
2020-12-18 09:45:00,128.96,129.1,127.65,127.79,21443475
2020-12-18 09:30:00,129.24,129.35,128.93,129.0,279289
2020-12-18 09:15:00,129.11,129.35,129.1,129.25,192131
2020-12-18 09:00:00,129.17,129.19,129.09,129.12,66624
2020-12-18 08:45:00,128.97,129.2,128.55,129.1902,164575
2020-12-18 08:30:00,128.98,129.05,128.7,128.94,341575
2020-12-18 08:15:00,128.9301,129.15,128.7,128.98,222308
2020-12-18 08:00:00,129.08,129.13,128.86,128.9,46377
2020-12-18 07:45:00,129.0,129.15,128.87,129.1,44419
2020-12-18 07:30:00,128.86,129.15,128.86,129.0,77211
2020-12-18 07:15:00,128.8,128.9,128.72,128.87,69933
2020-12-18 07:00:00,128.71,128.84,128.6,128.84,22726
2020-12-18 06:45:00,128.92,129.09,128.68,128.71,26885
2020-12-18 06:30:00,129.15,129.2,128.91,128.91,10874
2020-12-18 06:15:00,128.89,129.15,128.8,129.15,7747
2020-12-18 06:00:00,128.8,128.85,128.79,128.84,5945
2020-12-18 05:45:00,128.96,128.96,128.7,128.7,7316
2020-12-18 05:30:00,129.01,129.01,128.96,128.96,1922
2020-12-18 05:15:00,129.1,129.13,129.05,129.05,2765
2020-12-18 05:00:00,129.06,129.07,129.06,129.07,371
2020-12-18 04:45:00,128.99,129.07,128.99,129.06,2238
2020-12-18 04:30:00,129.16,129.16,129.0,129.03,6493
2020-12-18 04:15:00,128.88,129.36,128.59,129.2,14179
2020-12-17 20:00:00,128.49,128.52,128.31,128.35,28177
2020-12-17 19:45:00,128.38,128.5,128.38,128.49,17218
2020-12-17 19:30:00,128.47,128.48,128.38,128.39,12167
2020-12-17 19:15:00,128.42,128.48,128.41,128.43,12005
2020-12-17 19:00:00,128.47,128.47,128.4,128.45,35971
2020-12-17 18:45:00,128.5,128.59,128.46,128.47,11469
2020-12-17 18:30:00,128.4,128.47,128.36,128.45,23822
2020-12-17 18:15:00,128.42,128.59,128.33,128.4,21890
2020-12-17 18:00:00,128.36,128.44,128.35,128.41,10095
2020-12-17 17:45:00,128.54,128.59,128.27,128.36,45934
2020-12-17 17:30:00,128.53,128.7,128.5,128.57,28810
2020-12-17 17:15:00,128.58,128.58,128.51,128.5499,21140
2020-12-17 17:00:00,128.57,128.63,128.57,128.57,6051050
2020-12-17 16:45:00,128.55,128.7,128.54,128.57,75296
2020-12-17 16:30:00,128.54,128.7,128.54,128.55,718228
2020-12-17 16:15:00,128.7,128.75,128.53,128.53,2710939
2020-12-17 16:00:00,128.6748,128.83,128.58,128.65,5564234
2020-12-17 15:45:00,128.37,128.68,128.29,128.6784,2638999
2020-12-17 15:30:00,128.405,128.52,128.35,128.37,1645158
2020-12-17 15:15:00,128.4593,128.5,128.24,128.405,1629096
2020-12-17 15:00:00,128.29,128.54,128.29,128.455,1668370
2020-12-17 14:45:00,128.29,128.35,128.12,128.29,2028907
2020-12-17 14:30:00,128.4508,128.53,128.22,128.285,1781836
2020-12-17 14:15:00,128.46,128.515,128.32,128.46,2638027
2020-12-17 14:00:00,128.46,128.67,128.4,128.455,1471468
2020-12-17 13:45:00,128.505,128.56,128.28,128.46,1769189
2020-12-17 13:30:00,128.64,128.645,128.43,128.505,1215416
2020-12-17 13:15:00,128.48,128.71,128.4,128.64,1767307
2020-12-17 13:00:00,128.43,128.52,128.34,128.4714,1712756
2020-12-17 12:45:00,128.41,128.46,128.1435,128.4235,2833627
2020-12-17 12:30:00,128.3739,128.49,128.21,128.4136,1751647
2020-12-17 12:15:00,128.4,128.57,128.31,128.38,2113634
2020-12-17 12:00:00,128.4665,128.68,128.045,128.39,3095101
2020-12-17 11:45:00,128.68,128.71,128.45,128.46,2147821
2020-12-17 11:30:00,128.62,128.8594,128.59,128.675,2195942
2020-12-17 11:15:00,128.79,129.04,128.6,128.63,2293132
2020-12-17 11:00:00,129.07,129.2,128.73,128.7808,2907535
2020-12-17 10:45:00,129.05,129.135,128.86,129.0717,3100182
2020-12-17 10:30:00,128.4,129.05,128.29,129.045,3746445
2020-12-17 10:15:00,128.955,128.99,128.19,128.407,4880693
2020-12-17 10:00:00,128.925,129.18,128.6,128.941,6898061
2020-12-17 09:45:00,128.9,129.58,128.52,128.9201,9914046
2020-12-17 09:30:00,129.09,129.18,128.85,128.89,215025
2020-12-17 09:15:00,128.58,129.4,128.55,129.07,425137
2020-12-17 09:00:00,128.5,128.58,128.43,128.57,117481
2020-12-17 08:45:00,128.4702,128.59,128.41,128.5002,90410
2020-12-17 08:30:00,128.5,128.57,128.35,128.48,72372
2020-12-17 08:15:00,128.4,128.55,127.59,128.48,169005
2020-12-17 08:00:00,128.44,128.54,128.44,128.47,54806
2020-12-17 07:45:00,128.42,128.46,128.37,128.46,27336
2020-12-17 07:30:00,128.49,128.5,128.38,128.43,28225
2020-12-17 07:15:00,128.16,128.49,128.16,128.48,124159
2020-12-17 07:00:00,128.23,128.23,128.16,128.18,8272
2020-12-17 06:30:00,128.3,128.34,128.3,128.3,1299
2020-12-17 06:15:00,128.29,128.3,128.27,128.29,2559
2020-12-17 06:00:00,128.29,128.29,128.27,128.27,1381
2020-12-17 05:45:00,128.15,128.25,128.15,128.25,1069
2020-12-17 05:30:00,128.26,128.26,128.15,128.15,2339
2020-12-17 05:15:00,128.4,128.42,128.31,128.32,2311
2020-12-17 05:00:00,128.48,128.5,128.4,128.4,12453
2020-12-17 04:45:00,128.3,128.42,128.29,128.42,6213
2020-12-17 04:30:00,128.28,128.31,128.26,128.3,5949
2020-12-17 04:15:00,128.2,128.41,128.2,128.25,4006
2020-12-16 20:00:00,127.84,127.84,127.67,127.8,48919
2020-12-16 19:45:00,127.72,127.82,127.72,127.82,18891
2020-12-16 19:30:00,127.68,127.71,127.65,127.69,11126
2020-12-16 19:15:00,127.88,127.9,127.67,127.67,29733
2020-12-16 19:00:00,127.83,127.93,127.82,127.9,10417
2020-12-16 18:45:00,127.88,127.93,127.82,127.85,7684
2020-12-16 18:30:00,127.92,127.93,127.89,127.89,9107
2020-12-16 18:15:00,127.83,127.93,127.83,127.9,335247
2020-12-16 18:00:00,127.84,127.84,127.78,127.7801,16674
2020-12-16 17:45:00,127.75,127.91,127.7,127.84,20351
2020-12-16 17:30:00,127.77,127.77,127.72,127.72,11156
2020-12-16 17:15:00,127.81,127.81,127.72,127.76,33994
2020-12-16 17:00:00,127.7802,127.81,127.67,127.81,655940
2020-12-16 16:45:00,127.63,127.89,127.62,127.74,67929
2020-12-16 16:30:00,127.74,127.81,127.475,127.65,135594
2020-12-16 16:15:00,127.81,127.83,127.65,127.72,3502791
2020-12-16 16:00:00,128.235,128.28,127.69,127.75,5849289
2020-12-16 15:45:00,128.11,128.37,128.0,128.2341,3811957
2020-12-16 15:30:00,127.81,128.17,127.77,128.105,2533195
2020-12-16 15:15:00,128.12,128.13,127.7,127.81,2724598
2020-12-16 15:00:00,127.9601,128.235,127.9,128.11,3207470
2020-12-16 14:45:00,127.4,127.98,127.38,127.9684,2602467
2020-12-16 14:30:00,127.39,127.5,127.3,127.4,1625438
2020-12-16 14:15:00,127.67,127.8,127.285,127.3939,2979209
2020-12-16 14:00:00,127.86,127.94,127.65,127.6601,1858728
2020-12-16 13:45:00,127.375,127.9375,127.34,127.86,2077450
2020-12-16 13:30:00,127.4764,127.5293,127.3315,127.375,1165425
2020-12-16 13:15:00,127.77,127.7893,127.26,127.485,1852866
2020-12-16 13:00:00,127.63,127.81,127.43,127.775,1605515
2020-12-16 12:45:00,127.55,127.7,127.34,127.6287,1397418
2020-12-16 12:30:00,127.608,127.695,127.36,127.555,1832096
2020-12-16 12:15:00,127.8,128.02,127.56,127.605,3323399
2020-12-16 12:00:00,127.4064,127.83,127.3393,127.8,2358118
2020-12-16 11:45:00,127.0332,127.57,127.02,127.4093,2902759
2020-12-16 11:30:00,127.066,127.0893,126.69,127.04,3067629
2020-12-16 11:15:00,126.995,127.37,126.95,127.0693,2141873
2020-12-16 11:00:00,127.255,127.35,126.9107,126.99,2418909
2020-12-16 10:45:00,127.1,127.45,126.95,127.26,2737982
2020-12-16 10:30:00,127.43,127.4499,126.81,127.0915,4290288
2020-12-16 10:15:00,127.185,127.87,127.18,127.4365,4946181
2020-12-16 10:00:00,126.71,127.47,126.68,127.16,5287240
2020-12-16 09:45:00,127.41,127.7,126.56,126.7,10036600
2020-12-16 09:30:00,127.35,127.5,126.98,127.38,339870
2020-12-16 09:15:00,127.76,127.8,127.2298,127.35,231261
